word,part_of_speech,meaning,example
an ủi,động từ,"làm cho (người đang có điều đau buồn) dịu bớt nỗi đau khổ, buồn phiền, thường bằng lời khuyên giải: lựa lời an ủi bạn * tự an ủi",lựa lời an ủi bạn * tự an ủi
án treo,danh từ,án tù chỉ thi hành nếu trong thời gian quy định người bị kết án lại phạm tội và bị xử kết án lần nữa: được hưởng án treo,được hưởng án treo
an-bom,danh từ,"tập giấy cứng hoặc nylon được đóng thành quyển, để lưu giữ ảnh, tem, v.v.: tập album * album ảnh",tập album * album ảnh
an-bom,danh từ,"tập hợp những tác phẩm (thường là bản nhạc, bài hát) xuất bản ở dạng đĩa hoặc băng từ: phát hành album nhạc mới",phát hành album nhạc mới
an-bum,danh từ,"tập giấy cứng hoặc nylon được đóng thành quyển, để lưu giữ ảnh, tem, v.v.: tập album * album ảnh",tập album * album ảnh
an-bum,danh từ,"tập hợp những tác phẩm (thường là bản nhạc, bài hát) xuất bản ở dạng đĩa hoặc băng từ: phát hành album nhạc mới",phát hành album nhạc mới
ang,danh từ,"đồ dùng đựng nước thời trước, làm bằng đất nung, thành hơi phình, miệng rộng: ang đựng nước",ang đựng nước
ang,danh từ,"dụng cụ đong lường thời trước, được làm bằng gỗ hoặc đan bằng tre, hình hộp, dung tích khoảng bảy tám lít, dùng ở một số địa phương để đong chất hạt rời: một ang gạo",một ang gạo
ang áng,động từ,ước lượng một cách đại khái: tính ang áng,tính ang áng
áng,danh từ,"(Văn chương) từ dùng để chỉ từng đơn vị thuộc loại sự vật được coi là có vẻ đẹp rực rỡ: một áng văn kiệt tác * ""Lòng còn gửi áng mây vàng, Hoạ vần, xin hãy chịu chàng hôm nay."" (TKiều)","một áng văn kiệt tác * ""Lòng còn gửi áng mây vàng, Hoạ vần, xin hãy chịu chàng hôm nay."" (TKiều)"
áng,động từ,"(Ít dùng) ước lượng, đoán định trên đại thể, không chính xác: cụ già áng ngoài tám mươi tuổi * áng theo đó mà làm",cụ già áng ngoài tám mươi tuổi * áng theo đó mà làm
anh,danh từ,"người con trai cùng một thế hệ trong gia đình, trong họ, nhưng thuộc hàng trên (sinh trước, là con nhà bác, v.v.; có thể dùng để xưng gọi): anh ruột * anh vợ * người anh con bác * chú lại đây anh bảo!",anh ruột * anh vợ * người anh con bác * chú lại đây anh bảo!
anh,danh từ,"từ dùng để chỉ hoặc gọi người đàn ông còn trẻ, hoặc người đàn ông cùng tuổi hoặc vai anh mình: anh thanh niên * anh giải phóng quân",anh thanh niên * anh giải phóng quân
anh,danh từ,"từ phụ nữ dùng để gọi chồng, người yêu hoặc người đàn ông dùng để tự xưng khi nói với vợ, người yêu: ""Chồng gì anh, vợ gì tôi, Chẳng qua là cái nợ đời chi đây!"" (Cdao)","""Chồng gì anh, vợ gì tôi, Chẳng qua là cái nợ đời chi đây!"" (Cdao)"
áng chừng,động từ,"ước lượng trên đại thể, không tính con số chính xác: cuốn sách áng chừng khoảng 500 trang",cuốn sách áng chừng khoảng 500 trang
anh ánh,tính từ,hơi ánh lên: mái tóc đen anh ánh,mái tóc đen anh ánh
anh dũng,tính từ,dũng cảm quên mình: hi sinh anh dũng,hi sinh anh dũng
ảnh,danh từ,"hình người, vật, phong cảnh thu được bằng khí cụ quang học (như máy ảnh, camera, v.v.): chụp ảnh * kĩ thuật xử lí ảnh",chụp ảnh * kĩ thuật xử lí ảnh
ảnh,danh từ,"hình của vật thu được hoặc nhìn thấy qua một hệ quang học như gương, thấu kính, v.v.: ảnh ảo * ảnh thật",ảnh ảo * ảnh thật
ảnh,đại từ,"(Nam, khẩu ngữ) anh ấy: Dạo này chị có gặp ảnh không? Xem thêm bả, ổng, chỉ",Dạo này chị có gặp ảnh không?
anh chị em,danh từ,"những người còn trẻ, gồm cả nam lẫn nữ, có quan hệ ruột thịt hoặc gần gũi như ruột thịt (nói tổng quát): nhà có ba anh chị em * anh chị em trong cơ quan",nhà có ba anh chị em * anh chị em trong cơ quan
ánh,danh từ,"những tia sáng do một vật phát ra hoặc phản chiếu lại (nói tổng quát): ánh nắng * ánh đuốc * ánh mắt * ""Hỡi cô tát nước bên đàng, Sao cô múc ánh trăng vàng đổ đi?"" (ca dao)","ánh nắng * ánh đuốc * ánh mắt * ""Hỡi cô tát nước bên đàng, Sao cô múc ánh trăng vàng đổ đi?"" (ca dao)"
ánh,danh từ,mảng ánh sáng có màu sắc: có ánh xanh của lá cây * pha ánh hồng,có ánh xanh của lá cây * pha ánh hồng
ánh,tính từ,"có nhiều tia sáng phản chiếu lóng lánh: mái tóc đen ánh * ""Mặt trời chiều ánh lên phía sau như lát vàng (...)"" (LVThảo; 8)","mái tóc đen ánh * ""Mặt trời chiều ánh lên phía sau như lát vàng (...)"" (LVThảo; 8)"
anh ách,tính từ,như ách (nhưng mức độ nhiều hơn): no anh ách * nói chuyện với nó cứ tức anh ách,no anh ách * nói chuyện với nó cứ tức anh ách
anh chị,danh từ,(khẩu ngữ) đàn anh sừng sỏ trong bọn lưu manh: dân anh chị * một tay anh chị,dân anh chị * một tay anh chị
anh chàng,danh từ,(khẩu ngữ) người trai trẻ (hàm ý coi thường hoặc bông đùa): một anh chàng vui tính,một anh chàng vui tính
anh em,danh từ,những người cùng một thế hệ có quan hệ ruột thịt hoặc họ hàng với nhau (nói khái quát): nhà có hai anh em,nhà có hai anh em
anh em,danh từ,"những người có quan hệ gần gũi, thân thiết, coi nhau như người thân trong nhà (nói khái quát): anh em bạn bè * các dân tộc anh em",anh em bạn bè * các dân tộc anh em
anh hào,danh từ,"(cũ, văn chương) anh hùng, hào kiệt (nói chung): ""Đường đường một đấng anh hào, Côn quyền hơn sức, lược thao gồm tài."" (TKiều)","""Đường đường một đấng anh hào, Côn quyền hơn sức, lược thao gồm tài."" (TKiều)"
anh hoa,danh từ,"(cũ, văn chương) cái đẹp đẽ, tốt đẹp; cái tinh hoa (của một con người): ""Anh hoa phát tiết ra ngoài, Nghìn thu bạc mệnh một đời tài hoa."" (TKiều)","""Anh hoa phát tiết ra ngoài, Nghìn thu bạc mệnh một đời tài hoa."" (TKiều)"
anh hùng ca,danh từ,"trường ca hoặc tiểu thuyết phản ánh những sự kiện lịch sử có ý nghĩa trọng đại hoặc lấy những truyền thuyết cổ đại làm nội dung, xây dựng những hình tượng anh hùng, mang nhiều sắc thái ảo tưởng và thần thoại: anh hùng ca Đam San của dân tộc Ê Đê",anh hùng ca Đam San của dân tộc Ê Đê
anh hùng,danh từ,"nhân vật thần thoại có sức mạnh và dũng khí phi thường, lập nên những kì tích đặc biệt (thường có trong truyện thần thoại Hi Lạp).",vị anh hùng dân tộc
anh hùng,danh từ,"người có tài năng và dũng khí hơn hẳn người thường, làm nên những việc được người đời ca tụng: vị anh hùng dân tộc",anh hùng lực lượng vũ trang nhân dân * anh hùng lao động
anh hùng,tính từ,đặc biệt anh dũng: một dân tộc anh hùng,một dân tộc anh hùng
anh hùng chủ nghĩa,tính từ,"ít nhiều có tính chất anh hùng, nhưng phiêu lưu, mạo hiểm: mang nặng tư tưởng anh hùng chủ nghĩa",mang nặng tư tưởng anh hùng chủ nghĩa
anh kiệt,danh từ,"(cũ, văn chương) như anh hào: bậc anh kiệt",bậc anh kiệt
anh hùng rơm,danh từ,"kẻ huênh hoang cố làm ra vẻ có khí phách, nhưng thực chất lại là hèn nhát: ""Anh hùng gì anh hùng rơm, Ta cho mớ lửa hết cơn anh hùng."" (ca dao)","""Anh hùng gì anh hùng rơm, Ta cho mớ lửa hết cơn anh hùng."" (ca dao)"
anh hùng rơm,tính từ,"có những lời lẽ khoe khoang làm ra vẻ có khí phách, nhưng thực chất lại là hèn nhát: ""Rõ khéo! Chỉ anh hùng rơm! Nói thì một tấc đến giời mà chẳng dám kiện ai."" (MPTư; 1)","""Rõ khéo! Chỉ anh hùng rơm! Nói thì một tấc đến giời mà chẳng dám kiện ai."" (MPTư; 1)"
anh linh,danh từ,linh hồn của người được tôn vinh: nghiêng mình trước anh linh các liệt sĩ,nghiêng mình trước anh linh các liệt sĩ
anh linh,tính từ,"(trang trọng) như linh thiêng: ""Sống trung liệt, thác anh linh, Suối vàng thơm phách, mây xanh thoả hồn."" (NĐM)","""Sống trung liệt, thác anh linh, Suối vàng thơm phách, mây xanh thoả hồn."" (NĐM)"
ảnh hưởng,danh từ,"tác động (từ người, sự việc hoặc hiện tượng) có thể làm dần dần có những biến đổi nhất định trong tư tưởng, hành vi, hoặc trong quá trình phát triển ở sự vật hoặc người nào đó: ảnh hưởng của phim ảnh đối với trẻ em * gây ảnh hưởng xấu",ảnh hưởng của phim ảnh đối với trẻ em * gây ảnh hưởng xấu
ảnh hưởng,động từ,có ảnh hưởng đến (ai/việc gì): nói chuyện làm ảnh hưởng đến người khác * chuyện đó không ảnh hưởng gì đến tôi,nói chuyện làm ảnh hưởng đến người khác * chuyện đó không ảnh hưởng gì đến tôi
ánh ỏi,tính từ,"(tiếng, giọng) ngân vang và hơi chói tai: tiếng chim hót ánh ỏi * ve kêu ánh ỏi",tiếng chim hót ánh ỏi * ve kêu ánh ỏi
anh minh,tính từ,(cũ) (người lãnh đạo) tài giỏi và sáng suốt: vị vua anh minh,vị vua anh minh
anh trai,danh từ,"anh ruột, phân biệt với anh họ, anh rể: nhà có hai anh trai",nhà có hai anh trai
anh tài,danh từ,"(cũ) người có tài năng và trí tuệ xuất chúng: ""Thề không dung kẻ quyền gian, Vì dân trừ hại mới nên anh tài."" (NĐM)","""Thề không dung kẻ quyền gian, Vì dân trừ hại mới nên anh tài."" (NĐM)"
anh yến,danh từ,"(cũ, văn chương) như yến anh: ""Muôn nghìn người thấy cũng yêu, Xôn xao anh yến, dập dìu trúc mai."" (TKiều)","""Muôn nghìn người thấy cũng yêu, Xôn xao anh yến, dập dìu trúc mai."" (TKiều)"
anh tuấn,tính từ,"(cũ, văn chương) (người đàn ông trẻ) có tướng mạo đẹp và tài giỏi hơn người: một thiếu niên anh tuấn",một thiếu niên anh tuấn
anh thư,danh từ,"(cũ, văn chương) người phụ nữ anh hùng: tỏ mặt anh thư",tỏ mặt anh thư
anh túc,danh từ,cây thuốc phiện: hoa anh túc,hoa anh túc
ánh sáng,danh từ,"dạng vật chất do vật phát ra hoặc phản chiếu trên vật, nhờ nó mắt có thể cảm thụ mà nhìn thấy vật ấy: ánh sáng mặt trời * ngôi nhà ẩm thấp, thiếu ánh sáng","ánh sáng mặt trời * ngôi nhà ẩm thấp, thiếu ánh sáng"
ánh sáng,danh từ,"sự soi sáng, sự hướng dẫn: ánh sáng của khoa học * vụ việc đã được đưa ra ánh sáng (nêu ra công khai)",ánh sáng của khoa học * vụ việc đã được đưa ra ánh sáng (nêu ra công khai)
anten,danh từ,thiết bị trực tiếp thu hay phát sóng radio: cần anten vô tuyến,cần anten vô tuyến
ảo ảnh,danh từ,"hình ảnh giống như thật, nhưng không có thật: ảo ảnh quyền lực * chạy theo ảo ảnh",ảo ảnh quyền lực * chạy theo ảo ảnh
áo,danh từ,"đồ mặc từ cổ trở xuống, chủ yếu che lưng, ngực và bụng: tà áo * vạch áo cho người xem lưng (tng)",tà áo * vạch áo cho người xem lưng (tng)
áo,danh từ,cái bọc bên ngoài một số đồ vật để che giữ: bánh gói thiếu lá áo * bóc lớp áo lụa của lạc,bánh gói thiếu lá áo * bóc lớp áo lụa của lạc
áo,danh từ,"lớp chất bột, chất đường bọc ngoài một số loại bánh kẹo hoặc thuốc viên: áo bánh gối * lớp đường làm áo",áo bánh gối * lớp đường làm áo
ào,động từ,"di chuyển đến với số lượng nhiều một cách rất nhanh và mạnh, không kể gì trở ngại: một cơn gió ào qua * bọn trẻ ào ra đường * ""Mọi sự ào đến với Hạnh như một cơn lốc cuốn phăng mọi thứ."" (DHướng; 1)","một cơn gió ào qua * bọn trẻ ào ra đường * ""Mọi sự ào đến với Hạnh như một cơn lốc cuốn phăng mọi thứ."" (DHướng; 1)"
ào,phụ từ,"(làm việc gì) một cách nhanh và mạnh, không để ý đến những cái khác: lội ào xuống ruộng * ăn ào đi cho xong bữa",lội ào xuống ruộng * ăn ào đi cho xong bữa
ảo,tính từ,"giống như thật, nhưng không có thật: con số ảo",con số ảo
ào ạt,tính từ,"(di chuyển) nhanh, mạnh và dồn dập trên phạm vi lớn: tiến quân ào ạt * ""Cũng có khi vô cớ, Biển ào ạt xô thuyền."" (XQuỳnh; 8)","tiến quân ào ạt * ""Cũng có khi vô cớ, Biển ào ạt xô thuyền."" (XQuỳnh; 8)"
ào ào,tính từ,"từ mô phỏng tiếng gió thổi mạnh, tiếng nước chảy xiết hay tiếng ồn ở chỗ đông người: gió thổi ào ào * ào ào như thác đổ",gió thổi ào ào * ào ào như thác đổ
áo ấm,danh từ,"áo mặc mùa đông cho ấm, nói chung: trời lạnh, phải mặc thêm áo ấm","trời lạnh, phải mặc thêm áo ấm"
ao,danh từ,"chỗ đào sâu xuống đất, thường ở gần nhà, để giữ nước nuôi cá, thả bèo, trồng rau, v.v.: đào ao thả cá",đào ao thả cá
ao,động từ,"(hiếm) đong để ước lượng: ao thúng thóc * ""Thói đời giọt nước làn mây, Đấu nào ao được vơi đầy mà tin."" (HT)","ao thúng thóc * ""Thói đời giọt nước làn mây, Đấu nào ao được vơi đầy mà tin."" (HT)"
ao chuôm,danh từ,"chỗ trũng có đọng nước, như ao, chuôm, v.v. (nói khái quát): trời mưa, ao chuôm đầy ắp nước","trời mưa, ao chuôm đầy ắp nước"
ảo giác,danh từ,"tri giác không chính xác đối với sự vật khách quan do một nguyên nhân nào đó gây ra (như chiếc đũa đặt vào trong một bát nước, do có hiện tượng tia sáng khúc xạ nên thấy chiếc đũa như gãy gập): nhìn mặt trời thấy khi to khi nhỏ chỉ là ảo giác",nhìn mặt trời thấy khi to khi nhỏ chỉ là ảo giác
áo đầm,danh từ,"váy kiểu Âu, liền thân: áo đầm dạ hội",áo đầm dạ hội
áo cà sa,danh từ,"áo mặc ngoài của nhà sư (rất dài và rộng): ""Áo xanh đổi lấy cà sa, Pháp danh lại đổi tên ra Trạc Tuyền."" (TKiều)","""Áo xanh đổi lấy cà sa, Pháp danh lại đổi tên ra Trạc Tuyền."" (TKiều)"
